        step	          pH	        temp	         Alk	          mu	     pct_err	      m_Ca+2	      m_Mg+2	        m_K+	       m_Na+	     m_HCO3-	    m_H4SiO4	      m_Al+3	     la_Ca+2	     la_Mg+2	    la_HCO3-	  si_Calcite	 si_Dolomite	 si_Gibbsite	si_Kaolinite	   si_Quartz	si_Anorthite	 si_Diopside	si_Forsterite	 k_Anorthite	dk_Anorthite	  k_Diopside	 dk_Diopside	k_Forsterite	dk_Forsterite	        Step	          pH	  Alkalinity	     Ca_conc	     Mg_conc	   HCO3_conc	
          20	     4.80801	      18.000	-1.49344e-05	 0.000150172	     77.9308	  3.0026e-05	  1.6002e-05	  4.0001e-05	  2.0001e-05	  3.4436e-07	  5.1763e-05	  8.7929e-07	 -4.5467e+00	 -4.8200e+00	 -6.4690e+00	     -8.1600	    -16.5569	     -0.1973	     -0.0000	     -0.2000	    -13.7804	    -19.1706	    -23.8559	  1.5000e+00	 -4.0229e-08	  8.0000e-01	 -9.0895e-09	  3.0000e-01	 -5.0314e-07	  2.0000e+01	  4.8080e+00	 -1.4934e-05	  3.0026e-05	  1.6002e-05	  3.4436e-07	
          21	     4.80983	      18.000	-1.48705e-05	 0.000150192	     77.9295	  3.0029e-05	  1.6053e-05	  4.0001e-05	  2.0001e-05	  3.4577e-07	  5.1763e-05	  8.6833e-07	 -4.5467e+00	 -4.8186e+00	 -6.4673e+00	     -8.1564	    -16.5483	     -0.1973	      0.0000	     -0.2000	    -13.7767	    -19.1619	    -23.8459	  1.5000e+00	 -4.2241e-08	  8.0000e-01	 -9.5440e-09	  3.0000e-01	 -5.2830e-07	  2.1000e+01	  4.8098e+00	 -1.4871e-05	  3.0029e-05	  1.6053e-05	  3.4577e-07	
          22	     4.81166	      18.000	-1.48065e-05	 0.000150211	     77.9281	  3.0031e-05	  1.6104e-05	  4.0001e-05	  2.0001e-05	  3.4719e-07	  5.1763e-05	  8.5742e-07	 -4.5466e+00	 -4.8172e+00	 -6.4655e+00	     -8.1528	    -16.5397	     -0.1973	     -0.0000	     -0.2000	    -13.7730	    -19.1532	    -23.8358	  1.5000e+00	 -4.4252e-08	  8.0000e-01	 -9.9985e-09	  3.0000e-01	 -5.5346e-07	  2.2000e+01	  4.8117e+00	 -1.4806e-05	  3.0031e-05	  1.6104e-05	  3.4719e-07	
          23	      4.8135	      18.000	-1.47422e-05	 0.000150231	     77.9268	  3.0034e-05	  1.6155e-05	  4.0001e-05	  2.0001e-05	  3.4863e-07	  5.1763e-05	  8.4658e-07	 -4.5466e+00	 -4.8159e+00	 -6.4637e+00	     -8.1491	    -16.5310	     -0.1973	     -0.0000	     -0.2000	    -13.7693	    -19.1444	    -23.8257	  1.5000e+00	 -4.6263e-08	  8.0000e-01	 -1.0453e-08	  3.0000e-01	 -5.7862e-07	  2.3000e+01	  4.8135e+00	 -1.4742e-05	  3.0034e-05	  1.6155e-05	  3.4863e-07	
          24	     4.81536	      18.000	-1.46778e-05	 0.000150251	     77.9255	  3.0036e-05	  1.6205e-05	  4.0001e-05	  2.0001e-05	  3.5008e-07	  5.1763e-05	  8.3580e-07	 -4.5466e+00	 -4.8145e+00	 -6.4619e+00	     -8.1454	    -16.5223	     -0.1973	      0.0000	     -0.2000	    -13.7655	    -19.1356	    -23.8156	  1.5000e+00	 -4.8275e-08	  8.0000e-01	 -1.0907e-08	  3.0000e-01	 -6.0377e-07	  2.4000e+01	  4.8154e+00	 -1.4678e-05	  3.0036e-05	  1.6205e-05	  3.5008e-07	
          25	     4.81723	      18.000	-1.46131e-05	 0.000150271	     77.9241	  3.0038e-05	  1.6256e-05	  4.0001e-05	  2.0001e-05	  3.5156e-07	  5.1763e-05	  8.2509e-07	 -4.5465e+00	 -4.8131e+00	 -6.4601e+00	     -8.1417	    -16.5135	     -0.1973	     -0.0000	     -0.2000	    -13.7618	    -19.1267	    -23.8054	  1.5000e+00	 -5.0286e-08	  8.0000e-01	 -1.1362e-08	  3.0000e-01	 -6.2893e-07	  2.5000e+01	  4.8172e+00	 -1.4613e-05	  3.0038e-05	  1.6256e-05	  3.5156e-07	
          26	     4.81911	      18.000	-1.45483e-05	 0.000150291	     77.9227	  3.0041e-05	  1.6307e-05	  4.0001e-05	  2.0001e-05	  3.5304e-07	  5.1763e-05	  8.1443e-07	 -4.5465e+00	 -4.8118e+00	 -6.4582e+00	     -8.1379	    -16.5047	     -0.1973	      0.0000	     -0.2000	    -13.7580	    -19.1178	    -23.7952	  1.5000e+00	 -5.2298e-08	  8.0000e-01	 -1.1816e-08	  3.0000e-01	 -6.5409e-07	  2.6000e+01	  4.8191e+00	 -1.4548e-05	  3.0041e-05	  1.6307e-05	  3.5304e-07	
          27	     4.82101	      18.000	-1.44832e-05	 0.000150312	     77.9214	  3.0043e-05	  1.6357e-05	  4.0001e-05	  2.0001e-05	  3.5455e-07	  5.1763e-05	  8.0384e-07	 -4.5465e+00	 -4.8104e+00	 -6.4564e+00	     -8.1341	    -16.4958	     -0.1973	      0.0000	     -0.2000	    -13.7541	    -19.1089	    -23.7849	  1.5000e+00	 -5.4309e-08	  8.0000e-01	 -1.2271e-08	  3.0000e-01	 -6.7925e-07	  2.7000e+01	  4.8210e+00	 -1.4483e-05	  3.0043e-05	  1.6357e-05	  3.5455e-07	
          28	     4.82292	      18.000	 -1.4418e-05	 0.000150332	       77.92	  3.0046e-05	  1.6408e-05	  4.0001e-05	  2.0001e-05	  3.5607e-07	  5.1763e-05	  7.9332e-07	 -4.5464e+00	 -4.8091e+00	 -6.4545e+00	     -8.1303	    -16.4869	     -0.1973	      0.0000	     -0.2000	    -13.7503	    -19.0999	    -23.7746	  1.5000e+00	 -5.6321e-08	  8.0000e-01	 -1.2725e-08	  3.0000e-01	 -7.0440e-07	  2.8000e+01	  4.8229e+00	 -1.4418e-05	  3.0046e-05	  1.6408e-05	  3.5607e-07	
          29	     4.82484	      18.000	-1.43525e-05	 0.000150353	     77.9186	  3.0048e-05	  1.6459e-05	  4.0001e-05	  2.0001e-05	  3.5761e-07	  5.1763e-05	  7.8286e-07	 -4.5464e+00	 -4.8078e+00	 -6.4526e+00	     -8.1265	    -16.4779	     -0.1973	     -0.0000	     -0.2000	    -13.7464	    -19.0908	    -23.7642	  1.5000e+00	 -5.8332e-08	  8.0000e-01	 -1.3180e-08	  3.0000e-01	 -7.2956e-07	  2.9000e+01	  4.8248e+00	 -1.4353e-05	  3.0048e-05	  1.6459e-05	  3.5761e-07	
